By,"Status (complete, in progress, out of range, not map)",root_url,collection,Notes,Thumb,IIIF,georeference,Georeference Annotation ,XYZ map tiles,Title,Alternate Title,Creator,Contributor,Artist,Author,Composer,Editor,Lyricist,Producer,Publisher,Coverage,Spatial Coverage,Temporal Coverage,Latitude,Longitude,Bounding Box,External Reference,Advisor,Committee Member,Degree Name,Degree Level,Department,University,Date,Date Created,Date Issued,Date Recorded,Date Submitted,Date Search,Description,Abstract,Award,Frequency,Sponsorship,Table of Contents,Subject,LCSH Subject,Language,Language-ISO,Format,Medium,Extent,Type,Source,Digital Collection,Physical Collection,Series/Location,Subcollection,Repository,Rights,Rights Note,Rights License,Rights URI,Rights DPLA,Identifier,Citation,DOI,ISBN,Permanent Identifier,Related Resource,Relation-Has Format Of,Relation-Has Part,Relation-Has Version,Relation-Is Format Of,Relation-Is Referenced By,Relation-Is Replaced By,Relation-Is Version Of,Relation-References,Relation-Replaces,Transcript,Path,File Name,OCLC number,Date created,Date modified,Reference URL,CONTENTdm number,CONTENTdm file name,CONTENTdm file path
,,https://archives.mountainscholar.org/digital/api/singleitem/collection/,p17393coll70,needs an expert,,https://archives.mountainscholar.org/iiif/2/p17393coll70:0/info.json,https://editor.allmaps.org/#/collection?url=https://archives.mountainscholar.org/iiif/2/p17393coll70:0/info.json,,,Platte Bridge Station Map,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Platte_Bridge_Station_Map.jpg,,8/31/21,8/31/21,http://cdm17393.contentdm.oclc.org/cdm/ref/collection/p17393coll70/id/0,0,13.jpg,/p17393coll70/image/13.jpg
,,https://archives.mountainscholar.org/digital/api/singleitem/collection/,p17393coll70,needs an expert,,https://archives.mountainscholar.org/iiif/2/p17393coll70:1/info.json,https://editor.allmaps.org/#/collection?url=https://archives.mountainscholar.org/iiif/2/p17393coll70:1/info.json,,,Platte Bridge Station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Platte_Bridge_Station.jpg,,8/31/21,8/31/21,http://cdm17393.contentdm.oclc.org/cdm/ref/collection/p17393coll70/id/1,1,14.jpg,/p17393coll70/image/14.jpg
,,https://archives.mountainscholar.org/digital/api/singleitem/collection/,p17393coll70,needs an expert,,https://archives.mountainscholar.org/iiif/2/p17393coll70:2/info.json,https://editor.allmaps.org/#/collection?url=https://archives.mountainscholar.org/iiif/2/p17393coll70:2/info.json,,,Deer Creek Station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deer_Creek_Station.jpg,,8/31/21,8/31/21,v,2,15.jpg,/p17393coll70/image/15.jpg
,,https://archives.mountainscholar.org/digital/api/singleitem/collection/,p17393coll70,needs an expert,,https://archives.mountainscholar.org/iiif/2/p17393coll70:3/info.json,https://editor.allmaps.org/#/collection?url=https://archives.mountainscholar.org/iiif/2/p17393coll70:3/info.json,,,"La Bonte Station, or, Camp Marshall",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,La_Bonte_Station.jpg,,8/31/21,8/31/21,http://cdm17393.contentdm.oclc.org/cdm/ref/collection/p17393coll70/id/3,3,16.jpg,/p17393coll70/image/16.jpg
,,https://archives.mountainscholar.org/digital/api/singleitem/collection/,p17393coll70,needs an expert,,https://archives.mountainscholar.org/iiif/2/p17393coll70:4/info.json,https://editor.allmaps.org/#/collection?url=https://archives.mountainscholar.org/iiif/2/p17393coll70:4/info.json,,,Horse Shoe Station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Horse_Shoe_Station.jpg,,8/31/21,8/31/21,http://cdm17393.contentdm.oclc.org/cdm/ref/collection/p17393coll70/id/4,4,17.jpg,/p17393coll70/image/17.jpg
,,https://archives.mountainscholar.org/digital/api/singleitem/collection/,p17393coll70,needs an expert,,https://archives.mountainscholar.org/iiif/2/p17393coll70:5/info.json,https://editor.allmaps.org/#/collection?url=https://archives.mountainscholar.org/iiif/2/p17393coll70:5/info.json,,,"Platte Bridge Station; Deer Creek Station; La Bonte Station, or, Camp Marshall; Horse Shoe Station",,"Collins, Caspar Wever, 1844-1865, mapmaker",,,,,,,,,,Wyoming,1864,,,,,,,,,,,1864 (?),,,,,1864,"Four panel linen diagram of Platte River Station, Deer Creek Station, La Bonte Station, or, Camp Marshall, and Horse Shoe Station at the scale of 1 inch = 20 feet. Includes the whole map and sections of the map by station.","Diagram of the Platte Bridge Station, Deer Creek Station, La Bone Station, also known as Camp Marshall, and Horse Shoe Station in Wyoming, U.S. Army stations along the Overland mail route. These four locations are drawn on a single strip map, although each station has its own map. This strip map measures 38 inches wide by 12 inches high. The map is marked by wrinkles and dirt stains. It is also marked by ink stains from being folded at one point in time, however, the map is now housed in a mylar sleeve. All four locations are scaled at 20 feet to the inch. There are legends and compass guides to help the user. These maps are vividly colored and include dimensions of most structures. The maps of Horse Shoe Station and Deer Creek Station have insets showing their locations in a larger geographical setting.",,,,,Platte Bridge Station (Wyo.) -- Maps; Deer Creek Station (Wyo.) -- Maps; Horse Shoe Station (Wyo.) -- Maps; United States. Army. Cavalry -- Maps; Wyoming -- Maps; La Bonte Station (Wyo.) -- Maps,,English,eng,,maps (documents); historical maps,38 x 12 inches,StillImage,,Special Collections Maps,,,,Colorado State University. Libraries,"Material is believed to be in the public domain. However, other rights and restrictions may apply, such as privacy and publicity rights. User is responsible for compliance with all applicable laws. For information about copyright law, please see https://libguides.colostate.edu/copyright.",,,,"The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries (https://rightsstatements.org/page/NoC-US/1.0/). The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information.",,,,,http://hdl.handle.net/10217/37896,,,,,,,,,,,,,,,6/13/25,6/13/25,http://cdm17393.contentdm.oclc.org/cdm/ref/collection/p17393coll70/id/5,5,18.cpd,/p17393coll70/image/18.cpd
,not map,https://archives.mountainscholar.org/digital/api/singleitem/collection/,p17393coll70,,,https://archives.mountainscholar.org/iiif/2/p17393coll70:6/info.json,https://editor.allmaps.org/#/collection?url=https://archives.mountainscholar.org/iiif/2/p17393coll70:6/info.json,,,Image 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Biography One of the unique and outstanding holdings of the Archives and Special Collections Department is a set of hand-drawn maps executed by a young Army lieutenant named Caspar Collins, depicting camps and stations once found in areas of the Western Plains. As a young child in Ohio, Caspar Wever Collins gained a passion for nature and artistry from his mother, Catherine. When his father, William Oliver Collins, was commissioned in the United States Army as a Colonel, he was ordered to travel west to help protect telegraph lines and emigrants from the East. Although he was not yet 18 years old, Caspar was determined to go with his father. In March 1862, they left Ohio for St. Louis. Along the route, Caspar recorded the new sites in drawings and letters. The company his father commanded was ordered to move further west, and Caspar recorded the camps and stations they saw in excellent detail and with vivid colors on linen maps. Caspar made maps of most of the forts his father commanded, and these were used officially by the War Department. On 30 June 1863, Caspar was commissioned in the Army as a Second Lieutenant and became part of Company G of the Eleventh Ohio Volunteer Cavalry. In the autumn of 1864, he was assigned responsibility for the garrisons at South Pass, St. Mary's, Sweetwater, and Three Crossings. In February 1865, Caspar was stationed at Deer Creek in Wyoming and promoted to the rank of First Lieutenant on 1 May; however, it is believed that he was not mustered to that position because of a delay in orders. At this time, Army posts and emigrant travelers were suffering from constant Indian raids. The Sand Creek Massacre in Colorado and the hanging of two Indian chiefs at Fort Laramie were two of the major events that provoked the fateful attack on Platte Bridge Station in July 1865. Though rivals in many ventures, Indian tribes banded together to take on the Army and chose Platte Bridge Station as the ideal target because it was one of the most important crossings on the North Platte River. Caspar arrived at Platte Bridge Station late in the night of 25 July and on the morning of the 26th he was ordered to escort a wagon train to the station. Despite the fact that the order was not given by his commander and the mission was clearly suicide, Caspar obeyed. Witnesses estimated three to five thousand Indians were attacking, but were well hidden and their numbers were not realized until it was too late. Caspar's body was found on 28 July, mutilated almost beyond recognition. On 15 August an order was given to have Caspar's remains and belongings collected, with the hope of sending them home at the earliest possible date. Not until nearly a year later, on 24 July 1866 did his remains reach his home of Hillsboro, Ohio, where they were interred. (Spring, pp.32-97) Before her death, Caspar's mother donated his maps of the expedition to Colorado State University, along with several items belonging to his father.",,,,8/31/21,8/31/21,http://cdm17393.contentdm.oclc.org/cdm/ref/collection/p17393coll70/id/6,6,19.pdfpage,/p17393coll70/image/19.pdfpage
,not map,https://archives.mountainscholar.org/digital/api/singleitem/collection/,p17393coll70,,,https://archives.mountainscholar.org/iiif/2/p17393coll70:7/info.json,https://editor.allmaps.org/#/collection?url=https://archives.mountainscholar.org/iiif/2/p17393coll70:7/info.json,,,Image 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Bibliography Bibliography of Published Sources on Caspar Collins Frazer, Robert W. Forts of the West: Military Forts and Presidios and Posts Commonly Called Forts West of the Mississippi River to 1898. Norman: University of Oklahoma Press, 1965. Service, Alex. The Life and Letters of Caspar W. Collins. Casper, Wyo.: City of Casper, 2000. Spring, Agnes Wright. Caspar Collins: The Life and Exploits of an Indian Fighter of the Sixties. Lincoln: University of Nebraska Press, 1969. Steinle, John F. ""Frontier Artist and Soldier: Caspar Collins"", Timeline, May-June 2004, 2-13. Urbanek, Mae. Wyoming Place Names. Missoula, Montana: Mountain Press Publishing Company, 1988. Vaughn, J. W. The Battle of Platte Bridge. Norman: University of Oklahoma Press, 1963. Ware, Eugene F. The Indian War of 1864. Lincoln: University of Nebraska Press, 1960",,,,8/31/21,8/31/21,http://cdm17393.contentdm.oclc.org/cdm/ref/collection/p17393coll70/id/7,7,20.pdfpage,/p17393coll70/image/20.pdfpage
,not map,https://archives.mountainscholar.org/digital/api/singleitem/collection/,p17393coll70,,,https://archives.mountainscholar.org/iiif/2/p17393coll70:8/info.json,https://editor.allmaps.org/#/collection?url=https://archives.mountainscholar.org/iiif/2/p17393coll70:8/info.json,,,Caspar Collins: biography and bibliography,,Unidentified author,,,,,,,,,,,,,,,,,,,,,,undated,,,,,,,,,,,,"Collins, Caspar Wever, 1844-1865",,English,eng,,biographies (literary works); bibliographies,,Text,,Special Collections Maps,,,,Colorado State University. Libraries,"Copyright and other restrictions may apply. User is responsible for compliance with all applicable laws. For information about copyright law, please see https://libguides.colostate.edu/copyright.",,,,This Item is protected by copyright and/or related rights (https://rightsstatements.org/vocab/InC/1.0/). You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).,,,,,https://hdl.handle.net/10217/183168,,,,,,,,,,,,,collins-bio-bibl.pdf,,5/24/22,5/24/22,http://cdm17393.contentdm.oclc.org/cdm/ref/collection/p17393coll70/id/8,8,21.cpd,/p17393coll70/supp/8/index.pdf
Cy,complete,https://archives.mountainscholar.org/digital/api/singleitem/collection/,p17393coll70,"pretty blurry, you'll need to georeference the parts I think",,https://archives.mountainscholar.org/iiif/2/p17393coll70:9/info.json,https://editor.allmaps.org/#/collection?url=https://archives.mountainscholar.org/iiif/2/p17393coll70:9/info.json,https://annotations.allmaps.org/images/79dc6f749ffc177b,https://allmaps.xyz/images/79dc6f749ffc177b/{z}/{x}/{y}@2x.png,Full view,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SPEC_IrrFarmsNorthDenver_16079_00051.jpg,,8/31/21,8/31/21,http://cdm17393.contentdm.oclc.org/cdm/ref/collection/p17393coll70/id/9,9,22.jpg,/p17393coll70/image/22.jpg
