By,"Status (complete, in progress, out of range, not map)",Notes,is_map,root_url,collection,thumbnail,Thumb,IIIF,georeference,Georeference Annotation,local_annotation,XYZ map tiles,Category,Keywords,Scale,Title,Alternate Title,Creator,Contributor,Artist,Author,Composer,Editor,Lyricist,Producer,Publisher,Coverage,Spatial Coverage,Temporal Coverage,Latitude,Longitude,Bounding Box,External Reference,Advisor,Committee Member,Degree Name,Degree Level,Department,University,Date,Date Created,Date Issued,Date Recorded,Date Submitted,Date Search,Description,Abstract,Award,Frequency,Sponsorship,Table of Contents,Subject,LCSH Subject,Language,Language-ISO,Format,Medium,Extent,Type,Source,Digital Collection,Physical Collection,Series/Location,Subcollection,Repository,Rights,Rights Note,Rights License,Rights URI,Rights DPLA,Identifier,Citation,DOI,ISBN,Permanent Identifier,Related Resource,Relation-Has Format Of,Relation-Has Part,Relation-Has Version,Relation-Is Format Of,Relation-Is Referenced By,Relation-Is Replaced By,Relation-Is Version Of,Relation-References,Relation-Replaces,Transcript,Path,File Name,OCLC number,Date created,Date modified,Reference URL,CONTENTdm number,CONTENTdm file name,CONTENTdm file path,children,id,geojson,latitude,longitude,area
,,needs an expert,y,https://archives.mountainscholar.org/digital/api/singleitem/collection/,p17393coll70,https://archives.mountainscholar.org/digital/api/singleitem/collection/p17393coll70/id/0/thumbnail,,https://archives.mountainscholar.org/iiif/2/p17393coll70:0/info.json,https://editor.allmaps.org/#/collection?url=https://archives.mountainscholar.org/iiif/2/p17393coll70:0/info.json,,,,"historic, structure, society","buildings, handDrawn",City,Platte Bridge Station Map,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Platte_Bridge_Station_Map.jpg,,8/31/21,8/31/21,http://cdm17393.contentdm.oclc.org/cdm/ref/collection/p17393coll70/id/0,0,13.jpg,/p17393coll70/image/13.jpg,,p17393coll70-0,,,,
,map part,needs an expert,y,https://archives.mountainscholar.org/digital/api/singleitem/collection/,p17393coll70,https://archives.mountainscholar.org/digital/api/singleitem/collection/p17393coll70/id/1/thumbnail,,https://archives.mountainscholar.org/iiif/2/p17393coll70:1/info.json,https://editor.allmaps.org/#/collection?url=https://archives.mountainscholar.org/iiif/2/p17393coll70:1/info.json,,,,"historic, structure, inlandWaters, society","buildings, handDrawn",City,Platte Bridge Station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Platte_Bridge_Station.jpg,,8/31/21,8/31/21,http://cdm17393.contentdm.oclc.org/cdm/ref/collection/p17393coll70/id/1,1,14.jpg,/p17393coll70/image/14.jpg,,p17393coll70-1,,,,
,map part,needs an expert,y,https://archives.mountainscholar.org/digital/api/singleitem/collection/,p17393coll70,https://archives.mountainscholar.org/digital/api/singleitem/collection/p17393coll70/id/2/thumbnail,,https://archives.mountainscholar.org/iiif/2/p17393coll70:2/info.json,https://editor.allmaps.org/#/collection?url=https://archives.mountainscholar.org/iiif/2/p17393coll70:2/info.json,,,,"historic, structure, society","buildings, handDrawn",City,Deer Creek Station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deer_Creek_Station.jpg,,8/31/21,8/31/21,v,2,15.jpg,/p17393coll70/image/15.jpg,,p17393coll70-2,,,,
,map part,needs an expert,y,https://archives.mountainscholar.org/digital/api/singleitem/collection/,p17393coll70,https://archives.mountainscholar.org/digital/api/singleitem/collection/p17393coll70/id/3/thumbnail,,https://archives.mountainscholar.org/iiif/2/p17393coll70:3/info.json,https://editor.allmaps.org/#/collection?url=https://archives.mountainscholar.org/iiif/2/p17393coll70:3/info.json,,,,"historic, structure, inlandWaters, society","buildings, handDrawn",City,"La Bonte Station, or, Camp Marshall",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,La_Bonte_Station.jpg,,8/31/21,8/31/21,http://cdm17393.contentdm.oclc.org/cdm/ref/collection/p17393coll70/id/3,3,16.jpg,/p17393coll70/image/16.jpg,,p17393coll70-3,,,,
,map part,needs an expert,y,https://archives.mountainscholar.org/digital/api/singleitem/collection/,p17393coll70,https://archives.mountainscholar.org/digital/api/singleitem/collection/p17393coll70/id/4/thumbnail,,https://archives.mountainscholar.org/iiif/2/p17393coll70:4/info.json,https://editor.allmaps.org/#/collection?url=https://archives.mountainscholar.org/iiif/2/p17393coll70:4/info.json,,,,"historic, structure, society","buildings, handDrawn",City,Horse Shoe Station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Horse_Shoe_Station.jpg,,8/31/21,8/31/21,http://cdm17393.contentdm.oclc.org/cdm/ref/collection/p17393coll70/id/4,4,17.jpg,/p17393coll70/image/17.jpg,,p17393coll70-4,,,,
,error - not implemented,needs an expert,,https://archives.mountainscholar.org/digital/api/singleitem/collection/,p17393coll70,https://archives.mountainscholar.org/digital/api/singleitem/collection/p17393coll70/id/5/thumbnail,,https://archives.mountainscholar.org/iiif/2/p17393coll70:5/info.json,https://editor.allmaps.org/#/collection?url=https://archives.mountainscholar.org/iiif/2/p17393coll70:5/info.json,,,,historic,,,"Platte Bridge Station; Deer Creek Station; La Bonte Station, or, Camp Marshall; Horse Shoe Station",,"Collins, Caspar Wever, 1844-1865, mapmaker",,,,,,,,,,Wyoming,1864,,,,,,,,,,,1864 (?),,,,,1864,"Four panel linen diagram of Platte River Station, Deer Creek Station, La Bonte Station, or, Camp Marshall, and Horse Shoe Station at the scale of 1 inch = 20 feet. Includes the whole map and sections of the map by station.","Diagram of the Platte Bridge Station, Deer Creek Station, La Bone Station, also known as Camp Marshall, and Horse Shoe Station in Wyoming, U.S. Army stations along the Overland mail route. These four locations are drawn on a single strip map, although each station has its own map. This strip map measures 38 inches wide by 12 inches high. The map is marked by wrinkles and dirt stains. It is also marked by ink stains from being folded at one point in time, however, the map is now housed in a mylar sleeve. All four locations are scaled at 20 feet to the inch. There are legends and compass guides to help the user. These maps are vividly colored and include dimensions of most structures. The maps of Horse Shoe Station and Deer Creek Station have insets showing their locations in a larger geographical setting.",,,,,Platte Bridge Station (Wyo.) -- Maps; Deer Creek Station (Wyo.) -- Maps; Horse Shoe Station (Wyo.) -- Maps; United States. Army. Cavalry -- Maps; Wyoming -- Maps; La Bonte Station (Wyo.) -- Maps,,English,eng,,maps (documents); historical maps,38 x 12 inches,StillImage,,Special Collections Maps,,,,Colorado State University. Libraries,"Material is believed to be in the public domain. However, other rights and restrictions may apply, such as privacy and publicity rights. User is responsible for compliance with all applicable laws. For information about copyright law, please see https://libguides.colostate.edu/copyright.",,,,"The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries (https://rightsstatements.org/page/NoC-US/1.0/). The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information.",,,,,http://hdl.handle.net/10217/37896,,,,,,,,,,,,,,,6/13/25,6/13/25,http://cdm17393.contentdm.oclc.org/cdm/ref/collection/p17393coll70/id/5,5,18.cpd,/p17393coll70/image/18.cpd,"p17393coll70-0,p17393coll70-1,p17393coll70-2,p17393coll70-3,p17393coll70-4",p17393coll70-5,,,,
,not map,,,https://archives.mountainscholar.org/digital/api/singleitem/collection/,p17393coll70,https://archives.mountainscholar.org/digital/api/singleitem/collection/p17393coll70/id/6/thumbnail,,https://archives.mountainscholar.org/iiif/2/p17393coll70:6/info.json,https://editor.allmaps.org/#/collection?url=https://archives.mountainscholar.org/iiif/2/p17393coll70:6/info.json,,,,historic,,,Image 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Biography One of the unique and outstanding holdings of the Archives and Special Collections Department is a set of hand-drawn maps executed by a young Army lieutenant named Caspar Collins, depicting camps and stations once found in areas of the Western Plains. As a young child in Ohio, Caspar Wever Collins gained a passion for nature and artistry from his mother, Catherine. When his father, William Oliver Collins, was commissioned in the United States Army as a Colonel, he was ordered to travel west to help protect telegraph lines and emigrants from the East. Although he was not yet 18 years old, Caspar was determined to go with his father. In March 1862, they left Ohio for St. Louis. Along the route, Caspar recorded the new sites in drawings and letters. The company his father commanded was ordered to move further west, and Caspar recorded the camps and stations they saw in excellent detail and with vivid colors on linen maps. Caspar made maps of most of the forts his father commanded, and these were used officially by the War Department. On 30 June 1863, Caspar was commissioned in the Army as a Second Lieutenant and became part of Company G of the Eleventh Ohio Volunteer Cavalry. In the autumn of 1864, he was assigned responsibility for the garrisons at South Pass, St. Mary's, Sweetwater, and Three Crossings. In February 1865, Caspar was stationed at Deer Creek in Wyoming and promoted to the rank of First Lieutenant on 1 May; however, it is believed that he was not mustered to that position because of a delay in orders. At this time, Army posts and emigrant travelers were suffering from constant Indian raids. The Sand Creek Massacre in Colorado and the hanging of two Indian chiefs at Fort Laramie were two of the major events that provoked the fateful attack on Platte Bridge Station in July 1865. Though rivals in many ventures, Indian tribes banded together to take on the Army and chose Platte Bridge Station as the ideal target because it was one of the most important crossings on the North Platte River. Caspar arrived at Platte Bridge Station late in the night of 25 July and on the morning of the 26th he was ordered to escort a wagon train to the station. Despite the fact that the order was not given by his commander and the mission was clearly suicide, Caspar obeyed. Witnesses estimated three to five thousand Indians were attacking, but were well hidden and their numbers were not realized until it was too late. Caspar's body was found on 28 July, mutilated almost beyond recognition. On 15 August an order was given to have Caspar's remains and belongings collected, with the hope of sending them home at the earliest possible date. Not until nearly a year later, on 24 July 1866 did his remains reach his home of Hillsboro, Ohio, where they were interred. (Spring, pp.32-97) Before her death, Caspar's mother donated his maps of the expedition to Colorado State University, along with several items belonging to his father.",,,,8/31/21,8/31/21,http://cdm17393.contentdm.oclc.org/cdm/ref/collection/p17393coll70/id/6,6,19.pdfpage,/p17393coll70/image/19.pdfpage,,p17393coll70-6,,,,
,not map,,,https://archives.mountainscholar.org/digital/api/singleitem/collection/,p17393coll70,https://archives.mountainscholar.org/digital/api/singleitem/collection/p17393coll70/id/7/thumbnail,,https://archives.mountainscholar.org/iiif/2/p17393coll70:7/info.json,https://editor.allmaps.org/#/collection?url=https://archives.mountainscholar.org/iiif/2/p17393coll70:7/info.json,,,,historic,,,Image 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Bibliography Bibliography of Published Sources on Caspar Collins Frazer, Robert W. Forts of the West: Military Forts and Presidios and Posts Commonly Called Forts West of the Mississippi River to 1898. Norman: University of Oklahoma Press, 1965. Service, Alex. The Life and Letters of Caspar W. Collins. Casper, Wyo.: City of Casper, 2000. Spring, Agnes Wright. Caspar Collins: The Life and Exploits of an Indian Fighter of the Sixties. Lincoln: University of Nebraska Press, 1969. Steinle, John F. ""Frontier Artist and Soldier: Caspar Collins"", Timeline, May-June 2004, 2-13. Urbanek, Mae. Wyoming Place Names. Missoula, Montana: Mountain Press Publishing Company, 1988. Vaughn, J. W. The Battle of Platte Bridge. Norman: University of Oklahoma Press, 1963. Ware, Eugene F. The Indian War of 1864. Lincoln: University of Nebraska Press, 1960",,,,8/31/21,8/31/21,http://cdm17393.contentdm.oclc.org/cdm/ref/collection/p17393coll70/id/7,7,20.pdfpage,/p17393coll70/image/20.pdfpage,,p17393coll70-7,,,,
,not map,,,https://archives.mountainscholar.org/digital/api/singleitem/collection/,p17393coll70,https://archives.mountainscholar.org/digital/api/singleitem/collection/p17393coll70/id/8/thumbnail,,https://archives.mountainscholar.org/iiif/2/p17393coll70:8/info.json,https://editor.allmaps.org/#/collection?url=https://archives.mountainscholar.org/iiif/2/p17393coll70:8/info.json,,,,historic,,,Caspar Collins: biography and bibliography,,Unidentified author,,,,,,,,,,,,,,,,,,,,,,undated,,,,,,,,,,,,"Collins, Caspar Wever, 1844-1865",,English,eng,,biographies (literary works); bibliographies,,Text,,Special Collections Maps,,,,Colorado State University. Libraries,"Copyright and other restrictions may apply. User is responsible for compliance with all applicable laws. For information about copyright law, please see https://libguides.colostate.edu/copyright.",,,,This Item is protected by copyright and/or related rights (https://rightsstatements.org/vocab/InC/1.0/). You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).,,,,,https://hdl.handle.net/10217/183168,,,,,,,,,,,,,collins-bio-bibl.pdf,,5/24/22,5/24/22,http://cdm17393.contentdm.oclc.org/cdm/ref/collection/p17393coll70/id/8,8,21.cpd,/p17393coll70/supp/8/index.pdf,"p17393coll70-6,p17393coll70-7",p17393coll70-8,,,,
Cy,complete,"pretty blurry, you'll need to georeference the parts I think",y,https://archives.mountainscholar.org/digital/api/singleitem/collection/,p17393coll70,https://archives.mountainscholar.org/digital/api/singleitem/collection/p17393coll70/id/9/thumbnail,,https://archives.mountainscholar.org/iiif/2/p17393coll70:9/info.json,https://editor.allmaps.org/#/collection?url=https://archives.mountainscholar.org/iiif/2/p17393coll70:9/info.json,https://annotations.allmaps.org/images/79dc6f749ffc177b,annotations/79dc6f749ffc177b.json,https://allmaps.xyz/images/79dc6f749ffc177b/{z}/{x}/{y}@2x.png,"historic, planningCadastre, farming","railways, irrigation, printed, industryCommerce",County,Full view,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SPEC_IrrFarmsNorthDenver_16079_00051.jpg,,8/31/21,8/31/21,http://cdm17393.contentdm.oclc.org/cdm/ref/collection/p17393coll70/id/9,9,22.jpg,/p17393coll70/image/22.jpg,,p17393coll70-9,"{""type"": ""FeatureCollection"", ""features"": [{""type"": ""Feature"", ""properties"": {""@context"": ""https://schemas.allmaps.org/map/2/context.json"", ""id"": ""https://annotations.allmaps.org/maps/c927a8842d0fdbf7"", ""type"": ""GeoreferencedMap"", ""created"": ""2025-12-04T18:12:04.787Z"", ""modified"": ""2025-12-04T18:12:04.787Z"", ""resource"": {""id"": ""https://archives.mountainscholar.org/iiif/2/p17393coll70:9"", ""uri"": ""https://archives.mountainscholar.org/iiif/2/p17393coll70:9"", ""type"": ""ImageService2"", ""width"": 5369, ""height"": 6150}, ""gcps"": [{""id"": ""4c8f09ce40d65dd8"", ""index"": 1.931639214482505, ""resource"": [3580, 3826], ""geo"": [-104.6420792, 40.2255277]}, {""id"": ""917f4395433f02c7"", ""index"": 0.10067194053518214, ""resource"": [1116, 3760], ""geo"": [-105.123326, 40.2308306]}, {""id"": ""b02761c5468c7687"", ""index"": 2.2504246771309484, ""resource"": [2331, 1737], ""geo"": [-104.8888538, 40.5376597]}, {""id"": ""c892fedb374a9a05"", ""index"": 4.687721073419586, ""resource"": [1363, 1152], ""geo"": [-105.0783434, 40.6267725]}, {""id"": ""e7f3a1f0276001b9"", ""index"": 3.9410014592596325, ""resource"": [3008, 5672], ""geo"": [-104.7677765, 39.9392763]}], ""resourceMask"": [[265, 102], [323, 5859], [4977, 5876], [4980, 332], [4994, 132]], ""transformation"": {""type"": ""polynomial"", ""options"": {""order"": 1}}, ""_allmaps"": {""id"": ""https://annotations.allmaps.org/maps/c927a8842d0fdbf7"", ""version"": ""https://annotations.allmaps.org/maps/c927a8842d0fdbf7@da5c924150c3a5d8"", ""image"": {""id"": ""https://annotations.allmaps.org/images/79dc6f749ffc177b"", ""version"": ""https://annotations.allmaps.org/images/79dc6f749ffc177b@4a7642c9823bc4c8"", ""canvases"": []}, ""scale"": 0.059765, ""area"": 7542194453.51}}, ""geometry"": {""type"": ""Polygon"", ""coordinates"": [[[-105.287804548, 40.78373985], [-105.286275687, 39.90800642], [-104.37831644, 39.912579655], [-104.368306394, 40.756147838], [-104.365235018, 40.786403482], [-105.287804548, 40.78373985]]]}}]}",40.34865148,-104.8302285,12999.80496
